x,y
-14504,18487
-14509,18502
-14527,18533
-14549,18559
-14573,18579
-14609,18600
-14710,18637
-14776,18649
-14792,18649
-14799,18648
-14805,18646
-14809,18644
-14814,18640
-14818,18636
-14820,18633
-14822,18628
-14823,18622
-14823,18620
-14822,18617
-14819,18610
-14813,18599
-14806,18591
-14794,18581
-14779,18573
-14754,18564
-14700,18564
-14670,18569
-14650,18576
-14636,18584
-14626,18592
-14618,18601
-14611,18612
-14607,18622
-14605,18636
-14605,18650
-14607,18664
-14611,18676
-14619,18689
-14631,18703
-14662,18729
-14698,18750
-14785,18782
-14865,18796
-14881,18796
-14894,18794
-14905,18790
-14914,18785
-14919,18780
-14924,18774
-14928,18767
-14931,18758
-14933,18749
-14933,18744
-14931,18735
-14929,18730
-14924,18722
-14920,18718
-14911,18710
-14899,18703
-14867,18691
-14820,18691
-14793,18696
-14775,18703
-14758,18713
-14748,18721
-14738,18733
-14733,18742
-14729,18752
-14728,18760
-14728,18770
-14730,18779
-14735,18792
-14742,18803
-14754,18817
-14771,18831
-14803,18849
-14885,18879
-14976,18895
-15003,18895
-15024,18891
-15034,18887
-15043,18882
-15048,18877
-15053,18871
-15057,18864
-15060,18857
-15061,18851
-15061,18845
-15060,18842
-15058,18835
-15055,18831
-15051,18826
-15042,18818
-15029,18810
-14985,18794
-14937,18794
-14909,18799
-14890,18806
-14876,18814
-14865,18823
-14859,18830
-14854,18839
-14851,18848
-14849,18858
-14849,18869
-14851,18880
-14854,18890
-14860,18901
-14872,18915
-14890,18930
-14919,18947
-14997,18975
-15100,18993
-15135,18993
-15149,18991
-15158,18988
-15166,18984
-15171,18980
-15178,18972
-15182,18964
-15185,18957
-15186,18952
-15186,18945
-15185,18941
-15184,18938
-15179,18930
-15173,18923
-15164,18915
-15142,18903
-15086,18883
-15047,18883
-15021,18888
-15001,18895
-14988,18903
-14978,18912
-14968,18924
-14963,18933
-14960,18942
-14958,18951
-14958,18963
-14960,18973
-14964,18984
-14970,18995
-14982,19009
-14997,19022
-15024,19038
-15098,19065
-15213,19085
-15242,19085
-15259,19082
-15269,19078
-15276,19074
-15283,19068
-15289,19061
-15294,19053
-15297,19046
-15299,19037
-15299,19030
-15297,19021
-15295,19015
-15291,19008
-15281,18996
-15271,18988
-15252,18977
-15192,18955
-15145,18955
-15116,18960
-15097,18967
-15084,18975
-15071,18986
-15061,18998
-15056,19006
-15052,19017
-15050,19026
-15050,19038
-15052,19050
